id,name,sex,grau,grau.date,grau.obs,uc-entrada,uc-entrada.date,uc-entrada.obs,uc-saida,uc-saida.date,uc-saida.obs,faculdade,faculdade.date,faculdade.obs,nota-processamento,nota-processamento.date,nota-processamento.obs,naturalidade,naturalidade.date,naturalidade.obs,faculdade-original,faculdade-original.date,faculdade-original.obs
160398,Adrião Pereira Forjaz de Sampaio,m,Doutor em Leis,1835-06-14,"Doutoramento 14.06.1835, Atos grandes n.º 4, fl. 99v.",1823-10-01,1823-10-01,,1835-06-14,1835-06-14,,Leis,1823-10-01,Leis,,,,Coimbra,1823-10-01,,,,
178240,Adrião Pereira Gomes,m,Doutor em Cânones,1635-07-29,Doutor 29.07.1635,1625-10-26,1625-10-26,,1635-07-29,1635-07-29,,Cânones,1625-10-26,Cânones,,,,Lisboa,1625-10-26,,,,
198981,Afonso Augusto da Costa,m,Doutor em Direito,1895-06-09,"Doutor 09.06.1895, Atos grandes n.º 6, fl. 141v.",1887-10-03,1887-10-03,,1895-06-09,1895-06-09,,Direito,1887-10-03,Direito,,,,Seia,1887-10-03,,,,
169888,Afonso Furtado,m,Doutor em Cânones,1594-07-30,doutor 30.07.1594,1585-10-15,1585-10-15,,1594-07-30,1594-07-30,,Cânones,1585-10-15,Cânones,,,,Lisboa,1585-10-15,,,,
169890,Afonso Furtado,m,Doutor em Cânones,1611-06-05,doutor 05.06.1611,1600-10-05,1600-10-05,,1611-06-05,1611-06-05,,Cânones,1600-10-05,Cânones,,,,Lisboa,1600-10-05,,,,
180782,Afonso Rodrigues de Guevara,m,Doutor em Medicina,1557-11-14,Doutor em 14.11.1557,1552-04-28,1552-04-28,,1557-11-14,1557-11-14,,Medicina,1552-04-28,Faculdade inferida,Aviso: faculdade inferida,2022-05-01,Medicina,Granada,1552-04-28,,,,
231675,Afonso Soares,m,Doutor em Leis,1626-07-26,Doutor 26.07.1626,1617-11-07,1617-11-07,,1627-02-12,1627-02-12,,Leis,1617-11-07,Leis,,,,Moura,1617-11-07,,,,
224136,Afonso da Silva,m,Doutor em Cânones,1721-07-06,Doutor 06.07.1721,1715-10-01,1715-10-01,,1728-10-01,1728-10-01,,Cânones,1715-10-01,Cânones,,,,Coimbra,1715-10-01,,,,
189259,Afonso de Castelo Branco,m,Doutor em Teologia,1565-11-18,Doutor 18.11.1565,1556-02-23,1556-02-23,,1565-11-18,1565-11-18,,Teologia,1556-02-23,Faculdade inferida,Aviso: faculdade inferida,2022-05-01,Teologia,Lisboa,1556-02-23,,,,
174064,Afonso de Melo,m,Doutor em Teologia,1713-11-30,Doutor 30.11.1713,1705-10-01,1705-10-01,,1713-11-30,1713-11-30,,Teologia,1705-10-01,Teologia,,,,Albergaria-a-Velha,1705-10-01,,,,
222332,Afonso de Sequeira,m,Doutor em Teologia,1541-11-13,,1541-11-13,1541-11-13,,1542-02-29,1542-02-29,,Teologia,1541-11-13,Teologia,,,,,,,,,
172652,Agires Nunes,m,Doutor em Cânones,1555-06-30,Doutor em 30.06.1555,1550-00-00,1550-00-00,,1555-06-30,1555-06-30,,Cânones,1550-00-00,Cânones,,,,"Corte, Lisboa",1550-00-00,Corte (Lisboa),,,
224178,Agostinho António de Sousa Brito Resende Soutomaior,m,Doutor em Leis,1796-07-03,"Doutoramento 03.07.1796, Atos Grandes n.º2, fl.174",1788-10-31,1788-10-31,,1794-10-03,1794-10-03,,Leis,1788-10-31,Leis,,,,"Alqueidão, Tomar",1788-10-31,Alqueidão (Tomar),,,
214054,Agostinho Duarte Salvado,m,Doutor em Cânones,1714-06-10,Doutor 10.06.1714,1706-10-01,1706-10-01,,1714-06-10,1714-06-10,,Cânones,1706-10-01,Cânones,,,,Lisboa,1706-10-01,,,,
180907,Agostinho Gomes Guimarães,m,Doutor em Teologia,1713-01-07,,1713-01-07,1713-01-07,,1717-05-30,1717-05-30,,Teologia,1713-01-07,Teologia,,,,Lisboa,1713-01-07,,,,
219105,Agostinho Nunes dos Santos,m,Doutor em Cânones,1745-10-04,"Doutoramento 04.10.1745, Atos n.º 80, fl. 155",1739-10-01,1739-10-01,,1745-10-04,1745-10-04,,Cânones,1739-10-01,Cânones,,,,Lisboa,1739-10-01,,,,
142091,Agostinho Rodrigues de Almeida,m,Doutor em Medicina,1706-12-15,"""1706/12/15""",1698-10-01,1698-10-01,,1706-12-15,1706-12-15,,Medicina,1698-10-01,Medicina,,,,Arrancada,1698-10-01,,,,
148465,Agostinho da Ascenção,m,Doutor em Teologia,1679-01-29,"""1679/01/29""",1666-10-01,1666-10-01,,1679-01-29,1679-01-29,,Teologia,1666-10-01,Teologia,,,,,,,,,
177882,Agostinho da Glória,m,Doutor em Teologia,1711-07-28,Doutor 28.07.1711,1711-07-03,1711-07-03,,1711-07-28,1711-07-28,,Teologia,1711-07-03,Teologia,,,,,,,,,
177883,Agostinho da Glória,m,Doutor em Teologia,1727-10-20,Doutor 20.10.1727,1726-06-22,1726-06-22,,1727-10-20,1727-10-20,,Teologia,1726-06-22,Teologia,,,,,,,,,
205580,Agostinho da Trindade,m,Doutor em Teologia,1572-07-06,Doutor: 06.07.1572,1555-02-01,1555-02-01,,1572-07-06,1572-07-06,,Teologia,1555-02-01,Teologia,,,,,,,,,
192594,Agostinho de Jesus Maria José,m,Doutor em Teologia,1813-07-25,"Doutoramento 25.07.1813, Atos grandes n.º 3, fl. 73",1806-10-01,1806-10-01,,1813-07-25,1813-07-25,,Teologia,1806-10-01,Teologia,,,,Covões,1806-10-01,,,,
129872,Agostinho de Novais e Campos,m,Doutor em Cânones,1730-06-18,18.06.1730,1721-10-01,1721-10-01,,1730-06-18,1730-06-18,,Cânones,1721-10-01,Cânones,,,,Lisboa,1721-10-01,,,,
222984,Agostinho de Paredes,m,Doutor em Cânones,1682-07-19,19.07.1682,1675-11-12,1675-11-12,,1682-07-19,1682-07-19,,Cânones,1675-11-12,Cânones,,,,"Rio de Janeiro, Brasil",1675-11-12,,,,
217145,Agostinho de Santa Teresa,m,Doutor em Teologia,1718-07-24,Doutor 24.07.1718,1718-01-19,1718-01-19,,1718-07-24,1718-07-24,,Teologia,1718-01-19,Teologia,,,,,,,,,
218466,Agostinho de São Joaquim,m,Doutor em Teologia,1700-06-01,Doutor 01.06.1700,1700-03-22,1700-03-22,,1700-06-01,1700-06-01,,Teologia,1700-03-22,Teologia,,,,,,,,,
222295,Agostinho do Sepulcro,m,Doutor em Teologia,1654-02-01,Doutor 01.02.1654,1654-01-12,1654-01-12,,1654-02-01,1654-02-01,,Teologia,1654-01-12,Teologia,,,,,,,,,
224209,Aires António da Silva,m,Doutor em Cânones,1720-06-30,Doutor 30.06.1720,1714-10-01,1714-10-01,,1720-06-30,1720-06-30,,Cânones,1714-10-01,Cânones,,,,Lisboa,1714-10-01,,,,
211389,Aires Gomes de Sá,m,Doutor em Cânones,1559-06-29,Doutor em 29.06.1559,1537-06-07,1537-06-07,,1559-06-29,1559-06-29,,Cânones,1537-06-07,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Leis para Cânones,Leis.",Coimbra,1537-06-07,,Leis,1537-06-07,
211389,Aires Gomes de Sá,m,Doutor em Cânones,1559-06-29,Doutor em 29.06.1559,1537-06-07,1537-06-07,,1559-06-29,1559-06-29,,Leis,1537-06-07,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Leis para Cânones,Leis.",Coimbra,1537-06-07,,Leis,1537-06-07,
208777,Aires Ornelas e Vasconcelos,m,Doutor em Teologia,1860-07-29,Doutoramento 29.07.1860 Atos Grandes n.º 4 fl. 93v.,1854-10-11,1854-10-11,,1860-07-29,1860-07-29,,Teologia,1854-10-11,Teologia,,,,"Funchal, Madeira",1854-10-11,,,,
224198,"Aires da Silva, Reitor da Universidade",m,Doutor em Teologia,1567-07-27,Doutor 27.07.1567,1566-10-01,1566-10-01,,1567-07-27,1567-07-27,,Teologia,1566-10-01,Faculdade inferida,Aviso: faculdade inferida,2022-05-01,Teologia,Lisboa,1566-10-01,,,,
141907,Alberto,m,Doutor em Teologia,1632-07-11,"""1632/07/11""",1631-04-30,1631-04-30,,1632-07-11,1632-07-11,,Teologia,1631-04-30,Teologia,,,,,,,,,
177509,Alberto Guedes Coutinho Garrido,m,Doutor em Direito,1868-07-26,"26.07.1868, fl. 63",1862-10-04,1862-10-04,,1868-07-26,1868-07-26,,Direito,1862-10-04,Direito,,,,Figueira da Foz,1862-10-04,,,,
224232,Albino Jacinto José de Andrade e Silva,m,Doutor em Teologia,1856-07-13,"Doutoramento 13.07.1856, Atos grandes n.º 4, fl. 91v.",1849-10-18,1849-10-18,,1856-07-13,1856-07-13,,Teologia,1849-10-18,Teologia,,,,Viseu,1849-10-18,,,,
172663,Aleixo Nunes,m,Doutor em Teologia,1640-07-30,Doutor 30.07.1640,1615-10-02,1615-10-02,,1640-07-30,1640-07-30,,Teologia,1615-10-02,Teologia,,,,"Vila Nova de Gaia, Porto",1615-10-02,Vila Nova de Gaia (Porto),,,
245402,Alexandre Alves da Costa Pinto,m,Doutor em Cursos jurídicos (Cânones ou Leis),1816-11-24,"Doutoramento, 24.11.1816, Atos n.º3, fl.43 v.",1809-11-15,1809-11-15,,1816-07-29,1816-07-29,,Cursos jurídicos (Cânones ou Leis),1809-11-15,Direito,,,,Coimbra,1809-11-15,,,,
240126,Alexandre Dias Pessoa,m,Doutor em Cursos jurídicos (Cânones ou Leis),1800-07-27,"Doutoramento 27.07.1800, fl. 177v.",1794-10-29,1794-10-29,,1800-07-27,1800-07-27,,Cursos jurídicos (Cânones ou Leis),1794-10-29,Direito,,,,Cantanhede,1794-10-29,,,,
244269,Alexandre Ferreira,m,Doutor em Cânones,1687-06-08,Doutor 08.06.1687,1680-10-01,1680-10-01,,1687-06-08,1687-06-08,,Cânones,1680-10-01,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Cânones para Cânones,Leis.",Porto,1680-10-01,,Cânones,1680-10-01,
244269,Alexandre Ferreira,m,Doutor em Cânones,1687-06-08,Doutor 08.06.1687,1680-10-01,1680-10-01,,1687-06-08,1687-06-08,,Leis,1680-10-01,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Cânones para Cânones,Leis.",Porto,1680-10-01,,Cânones,1680-10-01,
247749,Alexandre Ferreira de Miranda,m,Doutor em Cânones,1715-03-19,19.03.1715,1706-10-01,1706-10-01,,1715-03-19,1715-03-19,,Cânones,1706-10-01,Cânones,,,,Coimbra,1706-10-01,,,,
183756,Alexandre Manique,m,Doutor em Teologia,1694-12-21,Doutor 21.12.1694,1694-10-30,1694-10-30,,1694-12-21,1694-12-21,,Teologia,1694-10-30,Teologia,,,,,,,,,
132510,Alexandre Meireles do Canto e Castro,m,Doutor em Direito,1858-03-25,"Doutoramento 25.03.1858, Atos grandes n.º 4, fl. 120v.",1849-10-30,1849-10-30,,1858-03-25,1858-03-25,,Direito,1849-10-30,Direito,,,,"Angra do Heroísmo, Açores",1849-10-30,,,,
209645,Alexandre Rebelo Leite,m,Doutor em Leis,1770-07-25,"Doutoramento 25.07.1770, Atos n.º 104, fl. 177v.",1764-10-01,1764-10-01,,1770-07-25,1770-07-25,,Leis,1764-10-01,Leis,,,,"Rio de Janeiro, Brasil",1764-10-01,,,,
176656,Alexandre Rodrigues Osório,m,Doutor em Cânones,1795-05-26,"Doutoramento 26.05.1795, fl. 166",1787-10-31,1787-10-31,,1795-05-26,1795-05-26,,Cânones,1787-10-31,Cânones,,,,São Martinho de Mouros,1787-10-31,,,,
196494,Alexandre da Silva Correia,m,Doutor em Cânones,1682-07-29,Doutor 29.07.1682,1675-10-25,1675-10-25,,1682-07-29,1682-07-29,,Cânones,1675-10-25,Cânones,,,,São Paulo,1675-10-25,,,,
282059,Alexandre de Abreu Correia de Freitas,m,Doutor em Leis,1745-07-11,"Doutoramento em Leis 11.07.1745, Atos n.º 79, fl. 183",1743-06-29,1743-06-29,,1745-07-11,1745-07-11,,Cânones,1743-06-29,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Cânones para Cânones,Leis.",,,,Cânones,1743-06-29,
282059,Alexandre de Abreu Correia de Freitas,m,Doutor em Leis,1745-07-11,"Doutoramento em Leis 11.07.1745, Atos n.º 79, fl. 183",1743-06-29,1743-06-29,,1745-07-11,1745-07-11,,Leis,1743-06-29,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Cânones para Cânones,Leis.",,,,Cânones,1743-06-29,
286285,Alexandre de Menezes,m,Doutor em Cursos jurídicos (Cânones ou Leis),1785-10-04,"Doutoramento 04.10.1785, Atos grandes n.º 1, fl. 119v.",1780-05-30,1780-05-30,,1785-10-04,1785-10-04,,Cursos jurídicos (Cânones ou Leis),1780-05-30,Direito,,,,,,,,,
211402,Alexandre de Sá,m,Doutor em Teologia,1683-05-02,Doutor 02.05.1683,1677-04-03,1677-04-03,,1683-05-02,1683-05-02,,Teologia,1677-04-03,Teologia,,,,Malta,1677-04-03,,,,
218485,Alexandre de São José,m,Doutor em Teologia,1685-01-28,Doutor 28.01.1685,1684-10-03,1684-10-03,,1685-01-28,1685-01-28,,Teologia,1684-10-03,Teologia,,,,,,,,,
218487,Alexandre de São José,m,Doutor em Teologia,1743-05-19,"Doutoramento 19.05.1743, Atos n.º 77, fl. 9",1735-10-01,1735-10-01,,1743-05-19,1743-05-19,,Teologia,1735-10-01,Teologia,,,,,,,,,
205356,Alexandre de Vasconcelos Coutinho,m,Doutor em Cânones,1703-06-10,Doutor 10.06.1703,1695-10-01,1695-10-01,,1703-06-10,1703-06-10,,Cânones,1695-10-01,Cânones,,,,Guarda,1695-10-01,,,,
250506,Alváro Lopes Moniz,m,Doutor em Cânones,1587-04-19,19.04.1587,1576-10-01,1576-10-01,,1587-04-19,1587-04-19,,Cânones,1576-10-01,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Leis para Cânones,Leis.",Ilha da Madeira,1576-10-01,,Leis,1576-10-01,
250506,Alváro Lopes Moniz,m,Doutor em Cânones,1587-04-19,19.04.1587,1576-10-01,1576-10-01,,1587-04-19,1587-04-19,,Leis,1576-10-01,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Leis para Cânones,Leis.",Ilha da Madeira,1576-10-01,,Leis,1576-10-01,
276379,Alípio da Encarnação,m,Doutor em Teologia,1757-12-19,"19.12.1757, Atos 92, fl. 18v.",1757-10-01,1757-10-01,,1757-12-19,1757-12-19,,Teologia,1757-10-01,Teologia,,,,,,,,,
234661,Amador António de Sousa,m,Doutor em Cânones,1726-07-26,Doutor 26.07.1726,1719-10-01,1719-10-01,,1726-07-26,1726-07-26,,Cânones,1719-10-01,Cânones,,,,Porto,1719-10-01,,,,
178260,Amaro Gomes,m,Doutor em Medicina,1683-05-09,Doutor 09.05.1683,1674-04-12,1674-04-12,,1683-05-09,1683-05-09,,Medicina,1674-04-12,Medicina,,,,Coimbra,1674-04-12,,,,
199146,Amaro Rodrigues da Costa,m,Doutor em Medicina,1718-07-03,Doutor 03.07.1718,1711-10-01,1711-10-01,,1718-07-03,1718-07-03,,Medicina,1711-10-01,Medicina,,,,Coimbra,1711-10-01,,,,
169177,Amaro Simões das Neves,m,Doutor em Teologia,1678-07-30,Doutor 30.07.1678,1669-10-01,1669-10-01,,1678-07-30,1678-07-30,,Teologia,1669-10-01,Teologia,,,,Lousã,1669-10-01,,,,
173627,Amaro de Meireles,m,Doutor em Cânones,1628-11-06,Doutor 06.11.1628,1616-10-12,1616-10-12,,1628-11-06,1628-11-06,,Cânones,1616-10-12,Cânones,,,,São Tiago Novo,1616-10-12,,,,
206602,Amaro do Couto,m,Doutor em Teologia,1793-06-16,"Doutoramento 16.06.1793 Aprovado Nemine Discrepante, Atos grandes n.º 2, fl. 164v.",1782-10-21,1782-10-21,,1793-06-16,1793-06-16,,Teologia,1782-10-21,Teologia,,,,Guimarães,1782-10-21,,,,
202515,Ambrósio Temudo,m,Doutor em Cânones,1601-10-04,04.10.1601,1591-11-12,1591-11-12,,1605-02-28,1605-02-28,,Cânones,1591-11-12,Cânones,,,,Abrantes,1591-11-12,,,,
205505,Ambrósio Trigueiros,m,Doutor em Cânones,1639-05-09,09.05.1639,1632-10-11,1632-10-11,,1645-01-16,1645-01-16,,Cânones,1632-10-11,Cânones,,,,Lisboa,1632-10-11,,,,
219141,Américo Ferreira dos Santos,m,Doutor em Teologia,1852-05-23,"Doutoramento 23.05.1852, Atos grandes n.º 4, fl. 87",1845-10-18,1845-10-18,,1852-05-23,1852-05-23,,Teologia,1845-10-18,Teologia,,,,Porto,1845-10-18,,,,
224341,Anastácio Mendes da Silva,m,Doutor em Leis,1714-06-14,Doutor 14.06.1714,1705-10-01,1705-10-01,,1714-06-14,1714-06-14,,Leis,1705-10-01,Leis,,,,Pombal,1705-10-01,,,,
286850,Anastácio de Bettencourt Moniz,m,Doutor em Cânones,1796-07-21,"Doutoramento 21.07.1796, Atos grandes n.º 2, fl. 170",1794-06-02,1794-06-02,,1796-07-31,1796-07-31,,Cânones,1794-06-02,Cânones,,,,Ilha da Madeira,1794-06-02,,,,
185404,André Bernardes,m,Doutor em Cânones,1656-07-30,Doutor 30.07.1656,1648-11-06,1648-11-06,,1656-07-30,1656-07-30,,Cânones,1648-11-06,Cânones,,,,Figueiró do Campo,1648-11-06,,,,
132333,André Cardoso,m,Doutor em Leis,1621-06-20,Doutor - 20.06.1621,1609-01-01,1609-01-01,,1622-11-02,1622-11-02,,Leis,1609-01-01,Leis,,,,Fronteira,1609-01-01,,,,
208802,André Freire da Cunha,m,Doutor em Leis,1722-07-13,Doutor 13.07.1722,1715-04-10,1715-04-10,,1722-07-13,1722-07-13,,Leis,1715-04-10,Leis,,,,São Gião,1715-04-10,,,,
214185,André Furtado de Mendonça,m,Doutor em Teologia,1644-05-16,"Doutor, 16.05.1644",1632-10-12,1632-10-12,,1644-05-16,1644-05-16,,Teologia,1632-10-12,Teologia,,,,Lisboa,1632-10-12,,,,
193229,André Joyes,m,Doutor em Cânones,1696-07-01,01.07.1696,1685-11-10,1685-11-10,,1696-07-01,1696-07-01,,Cânones,1685-11-10,Cânones,,,,Irlanda,1685-11-10,,,,
245506,André Pereira Pinto,m,Doutor em Teologia,1672-04-17,17.04.1672,1664-03-14,1664-03-14,,1672-04-17,1672-04-17,,Teologia,1664-03-14,Teologia,,,,Bertiandos,1664-03-14,,,,
222587,André Teixeira Palha,m,Doutor em Teologia,1758-05-19,"Doutoramento 19.05.1758, Atos n.º 92, fl. 19",1755-10-01,1755-10-01,,1758-05-19,1758-05-19,,Teologia,1755-10-01,Teologia,,,,Beja,1755-10-01,,,,
211638,André Vaz,m,Doutor em Cânones,1555-04-21,Doutor em Cânones: 21.04.1555,1549-02-27,1549-02-27,,1555-04-21,1555-04-21,,Cânones,1549-02-27,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Cânones para Cânones,Leis.",Porto,1549-02-27,,Cânones,1549-02-27,
211638,André Vaz,m,Doutor em Cânones,1555-04-21,Doutor em Cânones: 21.04.1555,1549-02-27,1549-02-27,,1555-04-21,1555-04-21,,Leis,1549-02-27,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Cânones para Cânones,Leis.",Porto,1549-02-27,,Cânones,1549-02-27,
207349,André de Cristo,m,Doutor em Teologia,1690-05-13,Doutor 13.05.1690,1681-10-01,1681-10-01,,1690-05-13,1690-05-13,,Teologia,1681-10-01,Teologia,,,,,,,,,
174203,André de Melo,m,Doutor em Cânones,1597-10-05,Doutor 05.10.1597,1582-10-17,1582-10-17,,1597-10-05,1597-10-05,,Cânones,1582-10-17,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Cânones para Cânones,Leis.",Évora,1582-10-17,,Cânones,1582-10-17,
174186,André de Melo,m,Doutor em Cânones,1660-11-30,Doutor 30.11.1660,1653-10-10,1653-10-10,,1660-11-30,1660-11-30,,Cânones,1653-10-10,Cânones,,,,Coimbra,1653-10-10,,,,
174203,André de Melo,m,Doutor em Cânones,1597-10-05,Doutor 05.10.1597,1582-10-17,1582-10-17,,1597-10-05,1597-10-05,,Leis,1582-10-17,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Cânones para Cânones,Leis.",Évora,1582-10-17,,Cânones,1582-10-17,
174184,André de Melo,m,Doutor em Teologia,1735-10-02,Doutoramento 02.10.1735,1726-10-01,1726-10-01,,1734-10-02,1734-10-02,,Teologia,1726-10-01,Teologia,,,,,,,,,
171722,André de Noronha,m,Doutor em Cânones,1549-03-03,Doutor 03.03.1549 Livro 3 caderno 4º fl. 31 v.,1549-03-03,1549-03-03,,1549-03-27,1549-03-27,,Cânones,1549-03-03,Cânones,,,,,,,,,
174206,André de Oliveira,m,Doutor em Teologia,1720-07-18,Doutor 18.07.1720,1713-10-01,1713-10-01,,1733-10-01,1733-10-01,,Teologia,1713-10-01,Teologia,,,,Coimbra,1713-10-01,,,,
208803,André de Sousa da Cunha,m,Doutor em Cânones,1723-12-09,Doutor 09.12.1723,1716-10-01,1716-10-01,,1723-12-09,1723-12-09,,Cânones,1716-10-01,Cânones,,,,Viseu,1716-10-01,,,,
218907,André de São Tomás,m,Doutor em Teologia,1635-04-04,"Incorporação de todos os Atos até ao Doutor em Teologia 04.04.1635: Atos e Graus 30, fl. 7, caderno 3º",1635-04-04,1635-04-04,,1635-04-04,1635-04-04,,Teologia,1635-04-04,Faculdade inferida,Aviso: faculdade inferida,2022-05-01,Teologia,,,,,,
204966,Antonio Pacheco,m,Doutor em Medicina,1625-06-22,Doutor 22.06.1625,1615-10-05,1615-10-05,,1631-10-03,1631-10-03,,Medicina,1615-10-05,Medicina,,,,Coimbra,1615-10-05,,,,
217812,Antrónio de São Bento,m,Doutor em Teologia,1704-12-18,Doutor 18.12.1704,1696-10-01,1696-10-01,,1704-12-18,1704-12-18,,Teologia,1696-10-01,Teologia,,,,,,,,,
184852,Antão Martins,m,Doutor em Leis,1559-08-02,Doutor em Leis 02.08.1559,1550-02-20,1550-02-20,,1559-08-02,1559-08-02,,Cânones,1550-02-20,Faculdade inferida,Aviso: faculdade inferida,2022-05-01,Leis,Lisboa,1550-02-20,,,,
184852,Antão Martins,m,Doutor em Leis,1559-08-02,Doutor em Leis 02.08.1559,1550-02-20,1550-02-20,,1559-08-02,1559-08-02,,Leis,1550-02-20,Faculdade inferida,Aviso: faculdade inferida,2022-05-01,Leis,Lisboa,1550-02-20,,,,
282433,António Aires de Gouveia,m,Doutor em Direito,1860-07-22,"Doutoramento 22.07.1860, Atos grandes n.º 4, fl. 125",1853-05-24,1853-05-24,,1860-07-22,1860-07-22,,Direito,1853-05-24,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Direito para Direito,Teologia.",Porto,1853-05-24,,Direito,1853-05-24,
282433,António Aires de Gouveia,m,Doutor em Direito,1860-07-22,"Doutoramento 22.07.1860, Atos grandes n.º 4, fl. 125",1853-05-24,1853-05-24,,1860-07-22,1860-07-22,,Direito,1853-05-24,Faculdade corrigida,"Faculdade corrigida, combinação incomum",2022-05-01,"Direito para Direito,Teologia.",Porto,1853-05-24,,Direito,1853-05-24,
282433,António Aires de Gouveia,m,Doutor em Direito,1860-07-22,"Doutoramento 22.07.1860, Atos grandes n.º 4, fl. 125",1853-05-24,1853-05-24,,1860-07-22,1860-07-22,,Teologia,1853-05-24,Faculdade corrigida,Aviso: faculdade corrigida,2022-05-01,"Direito para Direito,Teologia.",Porto,1853-05-24,,Direito,1853-05-24,
282433,António Aires de Gouveia,m,Doutor em Direito,1860-07-22,"Doutoramento 22.07.1860, Atos grandes n.º 4, fl. 125",1853-05-24,1853-05-24,,1860-07-22,1860-07-22,,Teologia,1853-05-24,Faculdade corrigida,"Faculdade corrigida, combinação incomum",2022-05-01,"Direito para Direito,Teologia.",Porto,1853-05-24,,Direito,1853-05-24,
144749,António Alves,m,Doutor em Medicina,1587-07-12,"""1587/07/12""",1580-03-11,1580-03-11,,1587-07-12,1587-07-12,,Medicina,1580-03-11,Medicina,,,,Lorvão,1580-03-11,,,,
250769,António Alves Lousa,m,Doutor em Cânones,1721-07-27,Doutor 1721.07.27,1715-10-01,1715-10-01,,1721-07-27,1721-07-27,,Cânones,1715-10-01,Cânones,,,,Lisboa,1715-10-01,,,,
